user_id,total_votes,unique_days,first_vote,last_vote,active_days,cohort_day,retention_day8,ret_group,ret_group_over,ret_group_under,gender,group_id,school_id,grade,total_votes_received,opposite_votes_received,opposite_vote_ratio,same_gender_votes_received
849963,286,11,2023-04-28,2023-05-15,17,2023-04-28,0.56,50 이상,50 이상,,M,356.0,271.0,2.0,178,59,0.33146067415730335,119
849974,750,35,2023-04-28,2023-07-03,66,2023-04-28,0.56,50 이상,50 이상,,M,3966.0,271.0,2.0,351,189,0.5384615384615384,162
849977,143,5,2023-04-29,2023-05-03,4,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3950.0,271.0,2.0,77,20,0.2597402597402597,57
849979,467,19,2023-04-28,2023-06-06,39,2023-04-28,0.56,50 이상,50 이상,,F,4048.0,271.0,2.0,63,38,0.6031746031746031,25
849981,125,6,2023-04-28,2023-05-05,7,2023-04-28,0.56,50 이상,50 이상,,M,757.0,271.0,2.0,303,53,0.17491749174917492,250
849983,196,8,2023-04-28,2023-05-15,17,2023-04-28,0.56,50 이상,50 이상,,M,3942.0,271.0,2.0,530,203,0.38301886792452833,327
849995,572,20,2023-04-28,2023-06-03,36,2023-04-28,0.56,50 이상,50 이상,,F,3944.0,271.0,2.0,207,49,0.23671497584541062,158
850006,166,8,2023-04-28,2023-05-09,11,2023-04-28,0.56,50 이상,50 이상,,M,3966.0,271.0,2.0,295,52,0.17627118644067796,243
850007,463,12,2023-04-28,2023-05-14,16,2023-04-28,0.56,50 이상,50 이상,,F,3944.0,271.0,2.0,370,80,0.21621621621621623,290
850031,1076,51,2023-04-28,2023-07-31,94,2023-04-28,0.56,50 이상,50 이상,,M,757.0,271.0,2.0,160,43,0.26875,117
850039,234,11,2023-04-28,2023-06-14,47,2023-04-28,0.56,50 이상,50 이상,,F,3940.0,271.0,2.0,316,75,0.23734177215189872,241
850057,405,9,2023-04-28,2023-05-06,8,2023-04-28,0.56,50 이상,50 이상,,F,757.0,271.0,2.0,362,67,0.1850828729281768,295
850058,455,15,2023-04-28,2023-06-17,50,2023-04-28,0.56,50 이상,50 이상,,M,3944.0,271.0,2.0,329,191,0.5805471124620061,138
850077,40,2,2023-04-28,2023-04-29,1,2023-04-28,0.56,50 이상,50 이상,,F,356.0,271.0,2.0,124,61,0.49193548387096775,63
850091,202,11,2023-04-28,2023-05-08,10,2023-04-28,0.56,50 이상,50 이상,,M,757.0,271.0,2.0,98,19,0.19387755102040816,79
