user_id,total_votes,unique_days,first_vote,last_vote,active_days,cohort_day,retention_day8,ret_group,ret_group_over,ret_group_under,gender,group_id,school_id,grade
888508,109,7,2023-05-05,2023-05-18,13,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,12032.0,352.0,2.0
888535,144,4,2023-05-05,2023-05-08,3,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,9893.0,352.0,2.0
888574,63,4,2023-05-05,2023-05-11,6,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,10444.0,352.0,2.0
888597,152,9,2023-05-05,2023-05-15,10,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,12277.0,352.0,1.0
888610,184,7,2023-05-05,2023-05-11,6,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,9568.0,4516.0,1.0
888661,86,3,2023-05-06,2023-05-08,2,2023-05-06,0.32786885245901637,50 미만,,50 미만,M,9893.0,352.0,2.0
888666,7,1,2023-05-05,2023-05-05,0,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,4286.0,271.0,3.0
888686,157,6,2023-05-05,2023-05-10,5,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,10018.0,4516.0,2.0
888711,309,12,2023-05-05,2023-05-21,16,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,10175.0,352.0,1.0
888713,87,5,2023-05-05,2023-05-13,8,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,12209.0,352.0,2.0
888741,335,11,2023-05-05,2023-05-15,10,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,1212.0,369.0,3.0
888745,138,10,2023-05-05,2023-05-19,14,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,9393.0,4516.0,2.0
888767,20,6,2023-05-05,2023-05-20,15,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,9409.0,4516.0,2.0
888803,47,4,2023-05-05,2023-05-09,4,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,10339.0,369.0,3.0
888823,86,9,2023-05-05,2023-05-24,19,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,2419.0,352.0,2.0
888844,17,2,2023-05-05,2023-05-06,1,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,2414.0,352.0,1.0
