user_id,total_votes,unique_days,first_vote,last_vote,active_days,cohort_day,retention_day8,ret_group,ret_group_over,ret_group_under,gender,group_id,school_id,grade,total_votes_received,opposite_votes_received,opposite_vote_ratio,same_gender_votes_received
849566,131,5,2023-04-29,2023-05-06,7,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3947.0,271.0,2.0,135,31,0.22962962962962963,104
849582,116,5,2023-04-29,2023-05-04,5,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,3966.0,271.0,2.0,182,48,0.26373626373626374,134
849620,361,15,2023-04-29,2023-05-21,22,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,356.0,271.0,2.0,146,14,0.0958904109589041,132
849623,30,7,2023-05-02,2023-05-18,16,2023-05-02,0.5694444444444444,50 이상,50 이상,,M,3946.0,271.0,2.0,243,58,0.23868312757201646,185
849634,491,11,2023-04-29,2023-05-13,14,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,3950.0,271.0,2.0,249,92,0.36947791164658633,157
849670,90,4,2023-04-29,2023-05-04,5,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,603.0,271.0,2.0,280,65,0.23214285714285715,215
849682,117,8,2023-04-29,2023-05-21,22,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3947.0,271.0,2.0,142,13,0.09154929577464789,129
849692,544,9,2023-04-29,2023-05-07,8,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,603.0,271.0,2.0,216,43,0.19907407407407407,173
849762,220,10,2023-04-29,2023-05-16,17,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,356.0,271.0,2.0,329,83,0.25227963525835867,246
849864,260,10,2023-04-29,2023-05-11,12,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,4048.0,271.0,2.0,197,96,0.4873096446700508,101
849922,468,8,2023-04-29,2023-05-08,9,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,3944.0,271.0,2.0,512,184,0.359375,328
849928,32,8,2023-04-29,2023-05-16,17,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,356.0,271.0,2.0,100,25,0.25,75
849938,44,9,2023-04-29,2023-05-17,18,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,356.0,271.0,2.0,33,12,0.36363636363636365,21
849946,65,4,2023-04-29,2023-05-05,6,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,356.0,271.0,2.0,150,20,0.13333333333333333,130
849963,261,10,2023-04-29,2023-05-15,16,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,356.0,271.0,2.0,178,59,0.33146067415730335,119
849974,626,22,2023-04-29,2023-05-25,26,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,3966.0,271.0,2.0,351,190,0.5413105413105413,161
849977,143,5,2023-04-29,2023-05-03,4,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3950.0,271.0,2.0,77,20,0.2597402597402597,57
849979,426,17,2023-04-29,2023-05-25,26,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,4048.0,271.0,2.0,63,38,0.6031746031746031,25
849981,107,5,2023-04-29,2023-05-05,6,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,757.0,271.0,2.0,304,53,0.17434210526315788,251
849983,172,7,2023-04-29,2023-05-15,16,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,3942.0,271.0,2.0,530,204,0.3849056603773585,326
849995,549,18,2023-04-29,2023-05-24,25,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3944.0,271.0,2.0,208,50,0.2403846153846154,158
850006,134,7,2023-04-29,2023-05-09,10,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,3966.0,271.0,2.0,295,52,0.17627118644067796,243
850007,405,11,2023-04-29,2023-05-14,15,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3944.0,271.0,2.0,370,80,0.21621621621621623,290
850031,747,26,2023-04-29,2023-05-25,26,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,757.0,271.0,2.0,160,43,0.26875,117
850039,183,9,2023-04-29,2023-05-09,10,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3940.0,271.0,2.0,316,75,0.23734177215189872,241
850057,382,8,2023-04-29,2023-05-06,7,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,757.0,271.0,2.0,362,67,0.1850828729281768,295
850058,394,12,2023-04-29,2023-05-24,25,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,3944.0,271.0,2.0,331,193,0.5830815709969789,138
850077,17,1,2023-04-29,2023-04-29,0,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,356.0,271.0,2.0,127,63,0.49606299212598426,64
850091,169,10,2023-04-29,2023-05-08,9,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,757.0,271.0,2.0,101,19,0.18811881188118812,82
850096,332,10,2023-04-29,2023-05-14,15,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,233.0,271.0,1.0,206,70,0.33980582524271846,136
850098,403,21,2023-04-29,2023-05-22,23,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3944.0,271.0,2.0,582,153,0.26288659793814434,429
850100,344,17,2023-04-29,2023-05-21,22,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,3947.0,271.0,2.0,211,120,0.5687203791469194,91
850102,80,8,2023-04-29,2023-05-10,11,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,3950.0,271.0,2.0,108,50,0.46296296296296297,58
850112,343,11,2023-04-29,2023-05-11,12,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,603.0,271.0,2.0,331,192,0.5800604229607251,139
850127,48,8,2023-04-29,2023-05-17,18,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3966.0,271.0,2.0,300,76,0.25333333333333335,224
850130,155,12,2023-04-29,2023-05-19,20,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,4127.0,271.0,1.0,262,61,0.23282442748091603,201
850150,315,7,2023-04-29,2023-05-06,7,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,603.0,271.0,2.0,224,96,0.42857142857142855,128
850152,172,5,2023-04-29,2023-05-15,16,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,603.0,271.0,2.0,177,35,0.1977401129943503,142
850173,71,5,2023-05-03,2023-05-10,7,2023-05-03,0.42297650130548303,50 미만,,50 미만,M,603.0,271.0,2.0,70,19,0.2714285714285714,51
850176,75,4,2023-04-29,2023-05-02,3,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,3950.0,271.0,2.0,28,10,0.35714285714285715,18
850180,656,10,2023-04-29,2023-05-08,9,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,603.0,271.0,2.0,658,128,0.1945288753799392,530
